p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.16225519461238e-189	1.30843616273582	0.359	0.126	1.06154156483394e-184	4	EXOSC3
6.43355097848028e-189	0.962216868364732	0.664	0.363	1.64081284155161e-184	4	UBE2I
8.96028586621849e-189	1.14089450864293	0.549	0.256	2.28523130732036e-184	4	MRPL47
9.83353471999382e-189	1.17149882031253	0.479	0.204	2.50794469498722e-184	4	MRPL50
1.42286601805046e-188	1.03442992604361	0.462	0.191	3.6288774924359e-184	4	ITGAE
2.84377281264957e-188	1.23297398089678	0.355	0.122	7.25275818138147e-184	4	PNO1
3.23211257180787e-188	0.69654193853882	0.908	0.699	8.2431799031388e-184	4	PRDX1
9.46657710144582e-188	1.24405962913818	0.394	0.148	2.41435582395274e-183	4	ACAT2
1.05602448516171e-187	1.65372673972195	0.296	0.094	2.69328484695643e-183	4	PPIL1
4.06950985590302e-187	0.929991189715507	0.54	0.243	1.03788779364951e-182	4	RRP7A
6.38027459643619e-187	0.607491562273736	0.956	0.758	1.62722523307509e-182	4	RPL5
7.11573339543694e-187	0.935595238540866	0.375	0.134	1.81479664517224e-182	4	THOP1
9.52577798381866e-187	0.952721852272191	0.738	0.448	2.42945441699311e-182	4	SRP9
2.66266452101127e-186	0.757772314075365	0.56	0.258	6.79085959438713e-182	4	PDHA1
4.98795079308639e-186	0.892403182187051	0.73	0.422	1.27212697026875e-181	4	NAA38
9.53921169437271e-186	1.50244099488542	0.259	0.073	2.43288055053282e-181	4	DCK
1.01112661623274e-185	1.11321171260671	0.588	0.287	2.57877732203997e-181	4	MKKS
1.09379787549699e-185	0.822564724365274	0.805	0.512	2.78962210166752e-181	4	MGST3
2.03432861711559e-185	0.923917308602313	0.635	0.323	5.18835170509161e-181	4	MRPL34
6.07692042738584e-185	1.13714023160501	0.555	0.267	1.54985778580049e-180	4	EBPL
6.52170922232276e-185	0.892703799036638	0.772	0.487	1.6632967200612e-180	4	TALDO1
2.27535958843214e-184	0.849454838084245	0.803	0.515	5.80307709433733e-180	4	SERBP1
3.10553454713548e-184	0.895180515883976	0.637	0.326	7.92035530901432e-180	4	HNRNPR
7.57423321998632e-184	1.10119899991777	0.418	0.162	1.93173244042531e-179	4	TPGS2
1.2085395235062e-183	0.855913151932024	0.703	0.39	3.08225920075021e-179	4	ECHS1
1.75754863303169e-183	0.911086751437368	0.589	0.286	4.48245203368402e-179	4	PIN1
5.3936655115053e-183	1.14236162466542	0.442	0.181	1.37560045205431e-178	4	MRPL48
5.720466609275e-183	0.874874111404968	0.434	0.173	1.4589478040295e-178	4	BOP1
7.6006329057792e-183	1.34143060691894	0.308	0.099	1.93846541628993e-178	4	RPA1
1.22231477880232e-182	0.450002617564524	0.996	0.939	3.11739161185744e-178	4	RPS15
1.35833666102357e-182	1.09166058074105	0.492	0.217	3.46430182027451e-178	4	MRPL19
5.07566876828837e-182	0.55306510597308	0.988	0.849	1.29449856266427e-177	4	RPS3A
5.11988522078954e-182	0.907189795255308	0.595	0.29	1.30577552671016e-177	4	PSMD2
5.14145482098103e-182	0.942180053992315	0.501	0.223	1.311276637543e-177	4	SLBP
5.52317246617065e-182	0.956464818790283	0.655	0.342	1.40862990577216e-177	4	COA4
8.91260986860286e-182	1.13132668940644	0.388	0.147	2.27307202088847e-177	4	GMPS
1.06875827445912e-181	1.01200735808222	0.582	0.283	2.72576110318054e-177	4	HSD17B10
1.81315732272354e-181	0.821498546068707	0.857	0.588	4.62427643587412e-177	4	SEM1
2.24244003456255e-181	1.04482907653404	0.552	0.262	5.71911906414832e-177	4	RCN2
3.1877967994338e-181	0.97265630500876	0.552	0.259	8.13015695727595e-177	4	MRPL24
4.95458792042319e-181	0.83888558212609	0.792	0.492	1.26361810322473e-176	4	EIF2S2
6.25244055583548e-181	1.10036380356879	0.424	0.169	1.59462243936028e-176	4	MRPL58
7.65045597972706e-181	1.10424624819076	0.433	0.176	1.95117229306959e-176	4	YDJC
1.03583397309918e-180	1.07582219924784	0.414	0.162	2.64179096499215e-176	4	ERAL1
1.43268941031758e-180	0.72067427969568	0.922	0.737	3.65393107207395e-176	4	RPL17
2.31124367733795e-180	0.849828207913652	0.584	0.285	5.8945958746827e-176	4	IMP4
2.46584285618005e-180	0.863674777251407	0.723	0.405	6.28888562040159e-176	4	TIMM8B
2.61108458234518e-180	0.850643878401598	0.487	0.206	6.65931011881316e-176	4	PLEK2
2.8635860717089e-180	0.60246478691602	0.904	0.685	7.30328991728637e-176	4	COX7A2
3.44913689765239e-180	0.882687036120804	0.432	0.172	8.79667874377265e-176	4	PPP5C
1.06694481518565e-179	0.922636258410717	0.626	0.321	2.72113605664947e-175	4	ANP32A
1.46855258838198e-179	1.02696893859612	0.601	0.304	3.7453965214094e-175	4	THOC7
1.76619163450863e-179	0.489743887446834	0.996	0.906	4.50449514465081e-175	4	RPS14
4.90510309074801e-179	0.991668496463683	0.458	0.191	1.25099749226437e-174	4	NDUFAF4
6.71994747082971e-179	0.997134143980897	0.656	0.358	1.71385540296041e-174	4	GTF2A2
8.67010399532366e-179	0.907076112964116	0.589	0.291	2.21122332296735e-174	4	FAM136A
1.0419667190425e-178	0.981691989192633	0.562	0.271	2.65743192024599e-174	4	MRPL36
1.33104943214777e-178	0.611603157264873	0.932	0.702	3.39470847174968e-174	4	UQCRQ
1.36206394537391e-178	0.479577053873181	0.994	0.925	3.47380788628163e-174	4	RPL36
2.49996810170166e-178	0.979780092578125	0.54	0.253	6.37591864657992e-174	4	NDUFA9
3.27408127670879e-178	0.950760857900724	0.499	0.22	8.3502168881181e-174	4	PSMG3
5.28708851123159e-178	0.799408800558086	0.566	0.266	1.34841905390451e-173	4	MRPS25
5.33532290130022e-178	1.04580092055503	0.328	0.111	1.36072075274761e-173	4	TOPBP1
3.59117749306037e-177	1.04663630309211	0.382	0.143	9.15893907830117e-173	4	UCHL5
7.35183798938484e-177	0.876891150519393	0.635	0.325	1.87501276081271e-172	4	NDUFAF8
6.63715358359947e-176	0.853680854826216	0.726	0.411	1.69273964996121e-171	4	ARPC1B
7.46504332293397e-176	0.900735646230896	0.693	0.391	1.90388464908108e-171	4	PSMB5
8.77244357727351e-176	0.69879970036035	0.889	0.662	2.23732400994784e-171	4	BTF3
9.37647270862652e-176	0.773971937597056	0.769	0.455	2.39137559960811e-171	4	DNPH1
1.10711682439273e-175	0.782144495077928	0.795	0.494	2.82359074893123e-171	4	SNU13
1.93850215693817e-175	0.840474502646122	0.799	0.527	4.9439559010551e-171	4	EEF1G
2.88431361181927e-175	1.04600768133181	0.553	0.267	7.35615343558386e-171	4	POLR2G
3.73660190508139e-175	0.655564886087771	0.686	0.378	9.52982949871956e-171	4	MDH1
3.82940876377511e-175	0.452777062109486	1	0.962	9.76652411113203e-171	4	RPL28
3.89294655342005e-175	0.9196974724856	0.526	0.24	9.92857088984249e-171	4	PSMD14
4.14721702331886e-175	0.90576105859881	0.632	0.335	1.05770622962724e-170	4	RBM17
4.52667324641592e-175	1.00359769438667	0.474	0.205	1.15448274476592e-170	4	WDR18
5.81295599671644e-175	1.44453414999303	0.254	0.074	1.48253629740256e-170	4	PDSS1
7.53059496264846e-175	0.782887538459366	0.729	0.422	1.92060293927386e-170	4	METTL26
9.0443057020047e-175	0.824389845734317	0.795	0.509	2.30665972623928e-170	4	POMP
9.8266651392014e-175	0.962742237394484	0.537	0.247	2.50619267710192e-170	4	TMEM97
1.37525462691267e-174	0.890833021627656	0.745	0.452	3.50744940047808e-170	4	C8orf59
1.44914347851016e-174	0.898008133970892	0.51	0.229	3.69589552759231e-170	4	CS
2.40754936318962e-174	0.899877131568002	0.525	0.238	6.14021389587881e-170	4	ALG3
2.95618089087744e-174	1.02085692389697	0.44	0.182	7.53944374409383e-170	4	UCK2
4.06439968357806e-174	1.04521888501521	0.339	0.119	1.03658449529975e-169	4	WDR5
5.74675760416087e-174	1.09411885369378	0.495	0.224	1.46565305936519e-169	4	MRPS23
7.95050184901066e-174	0.696823379310126	0.896	0.653	2.02769599157168e-169	4	NDUFS5
1.13829694706674e-173	0.470532429504231	0.993	0.912	2.90311253379901e-169	4	RPL12
1.80794270432397e-173	1.00070534645317	0.306	0.1	4.61097707310784e-169	4	PUSL1
2.16918909418187e-173	0.932613381439328	0.599	0.301	5.53229986580144e-169	4	MRPS33
3.44562901239877e-173	0.958577401773592	0.524	0.243	8.78773223322182e-169	4	BCCIP
5.81794007200638e-173	1.08807671802518	0.376	0.14	1.48380743596451e-168	4	CBX5
8.36298267083956e-173	0.955904076742849	0.523	0.242	2.13289510037092e-168	4	GLRX3
9.80976854190798e-173	0.992827612256574	0.64	0.345	2.50188336892821e-168	4	SYPL1
1.19065274519741e-172	0.779276471806674	0.755	0.463	3.03664076135148e-168	4	ATP5PB
1.28452456805899e-172	0.501349520949016	0.965	0.829	3.27605145837764e-168	4	COX4I1
3.19477995475441e-172	0.836146757520883	0.643	0.346	8.14796679660563e-168	4	POLR2H
1.02292917317915e-171	1.04798323779622	0.358	0.133	2.6088785632761e-167	4	HAT1
1.21738197828452e-171	0.897128478688932	0.557	0.264	3.10481099741684e-167	4	SMAGP
1.28608523730482e-171	0.84430998362766	0.649	0.349	3.2800317892222e-167	4	KPNB1
1.71850370240875e-171	0.981491429755817	0.54	0.255	4.38287184262328e-167	4	FKBP3
4.46942865822943e-171	0.849457217849733	0.763	0.475	1.13988308499484e-166	4	PSMB6
5.29113451341231e-171	1.03721739222721	0.405	0.16	1.34945094630068e-166	4	JPT2
6.80784554408753e-171	0.775253553784238	0.682	0.371	1.73627292756408e-166	4	NDUFS3
7.21536765247021e-171	0.651593259843281	0.87	0.594	1.840207366086e-166	4	ATP5PF
1.26721027578347e-170	1.0284093573901	0.686	0.392	3.23189308735817e-166	4	LY6E
1.42280396294214e-170	1.00313544415684	0.413	0.164	3.62871922708763e-166	4	MRPL35
1.59170471251515e-170	0.556234008237372	0.946	0.785	4.05948369879865e-166	4	COX5B
2.59362527299631e-170	1.10891617745616	0.5	0.229	6.61478189624979e-166	4	RPL26L1
2.79935343284043e-170	0.85437277288404	0.638	0.337	7.13947099511624e-166	4	SYNCRIP
2.92840955941578e-170	0.890905867274528	0.281	0.088	7.46861574033401e-166	4	DDB2
3.94070664210489e-170	0.867087820000773	0.693	0.396	1.00503782200243e-165	4	XRCC6
4.21220747940507e-170	0.731916144341798	0.821	0.535	1.07428139554747e-165	4	NDUFS8
7.18709312015118e-170	0.999314725344101	0.372	0.139	1.83299622936336e-165	4	RCC2
7.82296928671399e-170	1.00098986615002	0.441	0.185	1.99517008688354e-165	4	GLRX5
2.38604036774951e-169	0.951725033656202	0.605	0.31	6.08535735390836e-165	4	MEA1
3.69830698786812e-169	1.01035126158757	0.45	0.191	9.43216214185886e-165	4	DCAF13
4.22765636315553e-169	0.991069702796524	0.541	0.26	1.07822147885919e-164	4	FUCA2
9.36773733207835e-169	0.968092378130382	0.494	0.223	2.38914772917326e-164	4	NIT2
3.07436788970636e-168	0.616866383241363	0.928	0.74	7.8408678659071e-164	4	TAGLN2
5.68795239717755e-168	0.858271966012983	0.672	0.371	1.45065537937616e-163	4	SUCLG1
1.48240698218431e-167	0.611523553149479	0.967	0.801	3.78073076736286e-163	4	RPL21
2.38656822272515e-167	0.793768106572494	0.55	0.264	6.08670359523822e-163	4	HADH
4.80734077752112e-167	0.952577606678883	0.557	0.275	1.22606419189899e-162	4	TXNDC12
6.16198478189253e-167	1.09091084496292	0.441	0.188	1.57155259877387e-162	4	MRPS28
8.87657016925017e-167	0.914668411310611	0.386	0.15	2.26388045596556e-162	4	TOR3A
1.75439023766789e-166	0.864031274678903	0.698	0.396	4.47439686214818e-162	4	ADRM1
1.87940325573674e-166	1.00475897316873	0.511	0.238	4.79323006343098e-162	4	MRPL22
3.29008120969006e-166	0.999929547819132	0.438	0.186	8.39102311719353e-162	4	COPS3
5.33731979598887e-166	0.722953577606215	0.845	0.581	1.361230040769e-161	4	AURKAIP1
5.45440653390586e-166	0.815814884099623	0.652	0.354	1.39109184240735e-161	4	LSM8
6.81935893137463e-166	0.563734567286713	0.984	0.837	1.73920930185779e-161	4	RPS4X
7.15865693854691e-166	0.653110320643838	0.664	0.358	1.825743865607e-161	4	FDPS
1.2356593128274e-165	0.738750272410919	0.785	0.487	3.15142551143499e-161	4	NDUFB3
1.52786833441669e-165	1.4647730586619	0.266	0.083	3.89667540009633e-161	4	MARC1
4.81054811497093e-165	0.874152173056333	0.532	0.251	1.22688219124219e-160	4	ATP1B3
8.33275184864535e-165	1.00311723739868	0.474	0.212	2.12518503147851e-160	4	POLE4
1.16996841412823e-164	0.962113461876809	0.619	0.326	2.98388744339263e-160	4	EI24
1.1947544945234e-164	1.42585929608379	0.261	0.08	3.04710186283248e-160	4	PDF
4.71003782899733e-164	0.787726906019899	0.696	0.393	1.20124804790748e-159	4	RAB5IF
5.76255785096063e-164	0.700823943573136	0.477	0.21	1.469682754309e-159	4	NOC2L
6.34272502323247e-164	0.880194556756978	0.642	0.351	1.61764858992521e-159	4	KRTCAP3
6.89762578430233e-164	1.099540856637	0.522	0.249	1.75917048002847e-159	4	PFDN4
9.21631024540654e-164	1.09413092944502	0.287	0.093	2.35052776498848e-159	4	POLD3
1.87446192017403e-163	0.789048192764278	0.811	0.548	4.78062768121186e-159	4	PEBP1
1.87587581556242e-163	1.0321439154368	0.443	0.19	4.78423368001039e-159	4	GNPNAT1
2.01247790368922e-163	0.698534128115278	0.819	0.538	5.13262364556899e-159	4	TXNDC17
2.18474243981354e-163	1.00518922799714	0.456	0.201	5.57196711850046e-159	4	MRPL38
2.20066076200368e-163	0.869266904514061	0.733	0.456	5.61256520741419e-159	4	HNRNPF
3.31342906337614e-163	0.886380180724179	0.669	0.364	8.45056948323452e-159	4	ISOC2
1.00140002373946e-162	0.761411281313752	0.699	0.401	2.55397062054513e-158	4	H2AFY
1.43747535754688e-162	0.991469788814768	0.355	0.134	3.66613715188757e-158	4	HMBS
1.51704231604712e-162	1.12027862549623	0.363	0.139	3.86906472284658e-158	4	TOMM34
1.96054290620982e-162	0.821448845656855	0.567	0.279	5.00016862799752e-158	4	STIP1
2.49876253000908e-162	0.992554230414478	0.632	0.346	6.37284395653516e-158	4	RHEB
2.51502583743082e-162	0.912794962911542	0.614	0.322	6.41432189578356e-158	4	PSMG2
2.97750814296529e-162	0.981838391610935	0.645	0.349	7.59383676781867e-158	4	SNRPB2
4.46958752577474e-162	1.32045674782451	0.31	0.108	1.13992360257359e-157	4	SLC27A5
5.00458350679035e-162	0.733325417728541	0.909	0.71	1.27636897757181e-157	4	TUBB4B
