"dataset_id"	"run_accession"	"sample_accession"	"experiment_accession"	"file_name"	"source_url"	"local_path"	"expected_bytes"	"local_size_bytes"	"size_status"	"expected_md5"	"observed_md5"	"md5_status"	"sha256"	"library_layout"	"library_strategy"	"instrument_model"	"include_in_main_download"	"exclusion_reason"	"checked_at"
"SRP444325"	"SRR24947498"	"SAMN35767468"	"SRX20705972"	"SRR24947498.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/098/SRR24947498/SRR24947498.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947498.fastq.gz"	"115"	"0"	"excluded_from_main_download"	"6f1f41b49e0caff71a7b6c647a0b5f94"	""	"not_checked_excluded"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"False"	"paired_end_non_R1_R2_ena_extra_file_or_placeholder"	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947498"	"SAMN35767468"	"SRX20705972"	"SRR24947498_1.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/098/SRR24947498/SRR24947498_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947498_1.fastq.gz"	"1324467940"	"0"	"size_mismatch"	"8d2b16dbb0d3813301894ae7854252b6"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947498"	"SAMN35767468"	"SRX20705972"	"SRR24947498_2.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/098/SRR24947498/SRR24947498_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947498_2.fastq.gz"	"1445243153"	"0"	"size_mismatch"	"f9725429df2fa398cbe6958fe8657806"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947502"	"SAMN35767464"	"SRX20705968"	"SRR24947502_1.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/002/SRR24947502/SRR24947502_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947502_1.fastq.gz"	"1507508727"	"0"	"size_mismatch"	"0438af2751b21499490a5143bc308f4e"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947502"	"SAMN35767464"	"SRX20705968"	"SRR24947502_2.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/002/SRR24947502/SRR24947502_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947502_2.fastq.gz"	"1840676528"	"0"	"size_mismatch"	"19110287a2cb7fb8090b543b4981def4"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947503"	"SAMN35767463"	"SRX20705967"	"SRR24947503_1.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/003/SRR24947503/SRR24947503_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947503_1.fastq.gz"	"1480535995"	"0"	"size_mismatch"	"5cf22618a3fb3c425a7acec5fb0edc0d"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947503"	"SAMN35767463"	"SRX20705967"	"SRR24947503_2.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/003/SRR24947503/SRR24947503_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947503_2.fastq.gz"	"1782133882"	"0"	"size_mismatch"	"c418e41d67ad3efb187e3274c4049f3b"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:48"
"SRP444325"	"SRR24947507"	"SAMN35767472"	"SRX20705963"	"SRR24947507_1.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/007/SRR24947507/SRR24947507_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947507_1.fastq.gz"	"1188143087"	"0"	"size_mismatch"	"0dacda5c4b3a70cf342afe3aac017778"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:48"
"SRP444325"	"SRR24947507"	"SAMN35767472"	"SRX20705963"	"SRR24947507_2.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/007/SRR24947507/SRR24947507_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947507_2.fastq.gz"	"1407994093"	"0"	"size_mismatch"	"729a91285dc102dd0834713f7d4c4c2a"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:48"
"SRP444325"	"SRR24947508"	"SAMN35767461"	"SRX20705962"	"SRR24947508_1.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/008/SRR24947508/SRR24947508_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947508_1.fastq.gz"	"1200126224"	"0"	"size_mismatch"	"75cdcb67abf5e46efadc708c1999969e"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:48"
"SRP444325"	"SRR24947508"	"SAMN35767461"	"SRX20705962"	"SRR24947508_2.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/008/SRR24947508/SRR24947508_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947508_2.fastq.gz"	"1430361416"	"0"	"size_mismatch"	"7e4f725b84aa8c90a2f669260851f0ff"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:48"
